,bat_cluster,bowl_cluster,zero,one,two,three,four,six,no_of_balls
25,2,1,0.4285714286,0.2857142857,0,0,0.2857142857,0,7
26,2,2,0.3404255319,0.4734042553,0.0744680851,0.0053191489,0.0718085106,0.0345744681,376
27,2,3,0.2857142857,0.4285714286,0.1428571429,0,0.1428571429,0,7
28,2,4,0.3186813187,0.4395604396,0.0769230769,0,0.0769230769,0.0879120879,91
29,2,5,0.5,0.2,0.1,0,0.2,0,20
30,2,6,0,0.5,0.5,0,0,0,2
31,2,7,0.1929824561,0.5263157895,0.1052631579,0,0.1052631579,0.0526315789,57
32,2,8,0.3929219601,0.3702359347,0.0689655172,0.0054446461,0.1270417423,0.0326678766,1102
33,2,9,0.4153498871,0.3476297968,0.0812641084,0.0022573363,0.1173814898,0.0361173815,443
34,2,10,0.3710333605,0.3905614321,0.0695687551,0.0036615134,0.1204231082,0.0423108218,2458
35,2,11,0.3235294118,0.5588235294,0.0882352941,0,0.0294117647,0,34
36,3,0,0.3535580524,0.4284644195,0.0539325843,0.006741573,0.1123595506,0.0434456929,1335
37,3,1,0.2857142857,0.4285714286,0.1071428571,0,0.1071428571,0.0714285714,28
38,3,2,0.3503184713,0.4267515924,0.0636942675,0,0.110403397,0.0488322718,471
39,3,3,0.2580645161,0.5483870968,0.0322580645,0,0.0967741935,0.064516129,31
40,3,4,0.3596491228,0.4298245614,0.0614035088,0,0.1052631579,0.0438596491,114
41,3,5,0.3921568627,0.3725490196,0.0588235294,0,0.137254902,0.0392156863,51
42,3,6,0,1,0,0,0,0,3
43,3,7,0.2222222222,0.5277777778,0.0833333333,0,0.0833333333,0.0833333333,36
44,3,8,0.3953301127,0.3921095008,0.0571658615,0.0024154589,0.1038647343,0.0458937198,1242
45,3,9,0.3583535109,0.401937046,0.0581113801,0.0024213075,0.1210653753,0.0556900726,413
46,3,10,0.3883840379,0.3970762544,0.0612406164,0.0039510075,0.1058870012,0.0403002766,2531
47,3,11,0.3815789474,0.3421052632,0.0526315789,0,0.1447368421,0.0789473684,76
48,4,0,0.3392980041,0.4129387474,0.0798348245,0.0048176187,0.114934618,0.0481761872,1453
49,4,1,0.1538461538,0.4615384615,0.0769230769,0,0,0.3076923077,13
50,4,2,0.3251533742,0.4233128834,0.081799591,0.0163599182,0.1104294479,0.0429447853,489
51,4,3,0.2727272727,0.5151515152,0,0,0.1515151515,0.0606060606,33
52,4,4,0.25,0.4880952381,0.0714285714,0.0238095238,0.119047619,0.0476190476,84
53,4,5,0.25,0.59375,0.15625,0,0,0,32
54,4,6,0,0.4,0,0,0.2,0.4,5
55,4,7,0.3157894737,0.3859649123,0.1228070175,0,0.1403508772,0.0350877193,57
56,4,8,0.3307030129,0.4361549498,0.0846484935,0.0050215208,0.0982783357,0.0423242468,1394
57,4,9,0.3561643836,0.3835616438,0.100456621,0.002283105,0.1255707763,0.0319634703,438
58,4,10,0.3391877058,0.4244420051,0.0889132821,0.0029271862,0.1061105013,0.0369557263,2733
59,4,11,0.3090909091,0.5090909091,0.0545454545,0,0.0727272727,0.0545454545,55
60,5,0,0.3365617433,0.4198547215,0.0629539952,0.002905569,0.1181598063,0.0547215496,2065
