AC Gilchrist,BW Hilfenhaus,1,0,0,0,0,0
Mandeep Singh,R Ashwin,0,1,0,0,0,0
AC Gilchrist,R Ashwin,0,0,0,0,1,0
AC Gilchrist,R Ashwin,1,0,0,0,0,0
AC Gilchrist,R Ashwin,1,0,0,0,0,0
AC Gilchrist,R Ashwin,1,0,0,0,0,0
AC Gilchrist,R Ashwin,0,0,0,0,1,0
Mandeep Singh,JA Morkel,1,0,0,0,0,0
Mandeep Singh,JA Morkel,0,0,0,0,1,0
Mandeep Singh,JA Morkel,0,0,0,0,1,0
Mandeep Singh,JA Morkel,1,0,0,0,0,0
Mandeep Singh,JA Morkel,1,0,0,0,0,0
N Saini,JA Morkel,1,0,0,0,0,0
AC Gilchrist,R Ashwin,0,0,1,0,0,0
AC Gilchrist,R Ashwin,1,0,0,0,0,0
AC Gilchrist,R Ashwin,1,0,0,0,0,0
AC Gilchrist,R Ashwin,1,0,0,0,0,0
AC Gilchrist,R Ashwin,0,1,0,0,0,0
N Saini,R Ashwin,0,1,0,0,0,0
N Saini,DJ Bravo,1,0,0,0,0,0
N Saini,DJ Bravo,1,0,0,0,0,0
DJ Hussey,DJ Bravo,1,0,0,0,0,0
DJ Hussey,DJ Bravo,1,0,0,0,0,0
DJ Hussey,DJ Bravo,1,0,0,0,0,0
DJ Hussey,DJ Bravo,0,1,0,0,0,0
DJ Hussey,R Ashwin,0,0,1,0,0,0
DJ Hussey,R Ashwin,0,1,0,0,0,0
AC Gilchrist,R Ashwin,0,1,0,0,0,0
DJ Hussey,R Ashwin,0,1,0,0,0,0
AC Gilchrist,R Ashwin,0,0,0,0,1,0
AC Gilchrist,R Ashwin,1,0,0,0,0,0
DJ Hussey,DJ Bravo,0,0,0,0,1,0
DJ Hussey,DJ Bravo,1,0,0,0,0,0
SD Chitnis,DJ Bravo,0,1,0,0,0,0
AC Gilchrist,DJ Bravo,0,1,0,0,0,0
SD Chitnis,DJ Bravo,1,0,0,0,0,0
SD Chitnis,DJ Bravo,1,0,0,0,0,0
AC Gilchrist,JA Morkel,1,0,0,0,0,0
AC Gilchrist,JA Morkel,0,0,1,0,0,0
AC Gilchrist,JA Morkel,1,0,0,0,0,0
AC Gilchrist,JA Morkel,0,1,0,0,0,0
SD Chitnis,JA Morkel,0,1,0,0,0,0
AC Gilchrist,JA Morkel,0,1,0,0,0,0
AC Gilchrist,VY Mahesh,1,0,0,0,0,0
AC Gilchrist,VY Mahesh,0,1,0,0,0,0
SD Chitnis,VY Mahesh,1,0,0,0,0,0
SD Chitnis,VY Mahesh,0,1,0,0,0,0
AC Gilchrist,VY Mahesh,0,1,0,0,0,0
SD Chitnis,VY Mahesh,0,0,1,0,0,0
AC Gilchrist,DJ Bravo,0,0,0,0,1,0
AC Gilchrist,DJ Bravo,0,1,0,0,0,0
SD Chitnis,DJ Bravo,0,1,0,0,0,0
AC Gilchrist,DJ Bravo,0,1,0,0,0,0
SD Chitnis,DJ Bravo,1,0,0,0,0,0
SD Chitnis,DJ Bravo,0,0,0,0,1,0
AC Gilchrist,VY Mahesh,0,0,0,0,1,0
AC Gilchrist,VY Mahesh,0,0,0,0,0,1
AC Gilchrist,VY Mahesh,0,1,0,0,0,0
SD Chitnis,VY Mahesh,0,1,0,0,0,0
AC Gilchrist,VY Mahesh,0,0,0,0,1,0
AC Gilchrist,VY Mahesh,0,0,0,0,0,1
SD Chitnis,BW Hilfenhaus,1,0,0,0,0,0
Azhar Mahmood,BW Hilfenhaus,0,0,0,0,1,0
Azhar Mahmood,BW Hilfenhaus,1,0,0,0,0,0
Azhar Mahmood,BW Hilfenhaus,1,0,0,0,0,0
Azhar Mahmood,BW Hilfenhaus,0,1,0,0,0,0
AC Gilchrist,BW Hilfenhaus,1,0,0,0,0,0
Azhar Mahmood,JA Morkel,1,0,0,0,0,0
Azhar Mahmood,JA Morkel,1,0,0,0,0,0
Azhar Mahmood,JA Morkel,0,0,0,0,1,0
DPMD Jayawardene,P Kumar,1,0,0,0,0,0
DPMD Jayawardene,P Kumar,1,0,0,0,0,0
DPMD Jayawardene,P Kumar,0,0,0,0,1,0
DPMD Jayawardene,P Kumar,1,0,0,0,0,0
RE van der Merwe,P Kumar,0,1,0,0,0,0
V Sehwag,P Kumar,0,1,0,0,0,0
V Sehwag,P Kumar,1,0,0,0,0,0
RE van der Merwe,P Awana,0,1,0,0,0,0
V Sehwag,P Awana,0,1,0,0,0,0
RE van der Merwe,P Awana,1,0,0,0,0,0
RE van der Merwe,P Awana,0,1,0,0,0,0
V Sehwag,P Awana,0,1,0,0,0,0
RE van der Merwe,P Awana,1,0,0,0,0,0
V Sehwag,P Kumar,0,0,0,0,1,0
V Sehwag,P Kumar,1,0,0,0,0,0
V Sehwag,P Kumar,0,1,0,0,0,0
RE van der Merwe,P Kumar,0,0,0,0,1,0
RE van der Merwe,P Kumar,0,1,0,0,0,0
V Sehwag,P Kumar,0,0,1,0,0,0
RE van der Merwe,P Awana,1,0,0,0,0,0
RE van der Merwe,P Awana,1,0,0,0,0,0
DA Warner,P Awana,1,0,0,0,0,0
