Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,hundreds,fiftys,fours,sixes,CLUSTER
Bharat Chipli,23,21,6,280,61,18.66,251,111.55,0,1,28,7,11
Dan Christian,23,22,4,341,39,18.94,292,116.78,0,0,17,13,11
Axar Patel,45,30,8,379,42,17.22,311,121.86,0,0,23,17,11
Shreyas Iyer,20,20,1,469,83,24.68,385,121.81,0,4,43,22,11
Shreevats Goswami,23,16,1,241,52,16.06,251,96.01,0,1,26,2,11
Amit Mishra,112,45,17,291,31,10.39,311,93.56,0,0,25,3,11
Johan Botha,34,28,8,409,67,20.45,359,113.92,0,1,39,5,11
Ryan ten Doeschate,29,22,8,326,70,23.28,235,138.72,0,1,26,15,11
Laxmi Ratan Shukla,47,34,7,405,48,15,350,115.71,0,0,33,16,11
Sunny Sohal,22,20,0,368,62,18.4,292,126.02,0,2,34,18,11
Debabrata Das,31,22,8,304,35,21.71,261,116.47,0,0,23,16,11
James Franklin,20,16,5,327,79,29.72,301,108.63,0,1,25,8,11
Praveen Kumar,113,57,20,336,34,9.08,306,109.8,0,0,23,17,11
James Hopes,21,19,3,417,71,26.06,306,136.27,0,4,49,11,11
Owais Shah,23,22,7,506,76,33.73,389,130.07,0,4,34,23,11
Luke Pomersbach,17,16,5,302,79,27.45,246,122.76,0,1,25,13,11
